"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2026","3,468.50","3,502.10","3,514.30","3,423.40","","-1.57%"
"04/01/2026","3,523.80","3,442.10","3,531.50","3,417.50","","2.75%"
"03/31/2026","3,429.55","3,470.15","3,531.50","3,427.15","","-0.06%"
"03/30/2026","3,431.50","3,447.75","3,463.00","3,371.90","","4.77%"
"03/27/2026","3,275.20","3,272.35","3,302.00","3,228.75","","0.81%"
"03/26/2026","3,248.95","3,222.08","3,298.10","3,221.95","","0.11%"
"03/25/2026","3,245.50","3,243.55","3,262.00","3,219.15","","0.19%"
"03/24/2026","3,239.50","3,211.55","3,267.95","3,192.50","","0.37%"
"03/23/2026","3,227.50","3,179.00","3,236.35","3,166.00","","1.02%"
"03/20/2026","3,194.95","3,274.30","3,300.50","3,185.45","","-1.45%"
"03/19/2026","3,242.00","3,345.00","3,358.50","3,130.83","","-5.07%"
"03/18/2026","3,415.18","3,359.50","3,423.00","3,337.50","","1.35%"
"03/17/2026","3,369.60","3,410.00","3,426.55","3,360.20","","-0.64%"
"03/16/2026","3,391.20","3,447.20","3,450.00","3,370.50","","-0.84%"
"03/13/2026","3,420.00","3,473.00","3,495.00","3,417.55","","-2.82%"
"03/12/2026","3,519.35","3,495.50","3,542.15","3,463.00","","2.13%"
"03/11/2026","3,446.00","3,413.15","3,480.30","3,392.65","","1.56%"
"03/10/2026","3,393.00","3,351.50","3,407.00","3,301.00","","0.25%"
"03/09/2026","3,384.45","3,475.95","3,479.45","3,360.00","","-1.21%"
"03/06/2026","3,425.90","3,318.00","3,450.50","3,315.75","","4.45%"
"03/05/2026","3,279.95","3,358.50","3,365.60","3,268.80","","-1.61%"
"03/04/2026","3,333.50","3,314.35","3,418.50","3,284.50","","1.71%"
"03/03/2026","3,277.50","3,188.00","3,317.18","3,153.50","","2.60%"
"03/02/2026","3,194.45","3,228.15","3,256.00","3,184.45","","1.51%"
"02/27/2026","3,146.90","3,171.20","3,176.00","3,138.50","","-0.04%"
"02/26/2026","3,148.10","3,159.50","3,165.50","3,117.50","","-0.86%"
"02/25/2026","3,175.40","3,124.75","3,177.60","3,120.00","","2.07%"
"02/24/2026","3,110.90","3,112.45","3,120.00","3,094.00","","0.59%"
"02/23/2026","3,092.75","3,101.95","3,118.00","3,084.95","","-0.29%"
"02/20/2026","3,101.90","3,091.50","3,118.50","3,068.00","","0.98%"
"02/19/2026","3,071.85","3,080.00","3,093.50","3,037.85","","-0.41%"
"02/18/2026","3,084.50","3,045.70","3,098.00","3,040.90","","1.45%"
"02/17/2026","3,040.30","3,034.50","3,070.00","3,031.00","","-0.16%"
"02/16/2026","3,045.30","3,079.50","3,090.00","3,038.50","","-1.63%"
